id,input_url,user_name,score,published_at,text
1,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Keith McKenzie,5,3 weeks ago,This is a spectacular museum with so much to recommend it I don't know where to start. The museum building outside and inside is incredibly beautiful. The medieval section has many beautiful pieces. I also enjoyed the China and Korea exhibit. That's all I had time to see! If you are in London don't miss this gem.
2,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Peter Marosan,5,2 months ago,"This museum has a very eclectic collection. The curators have done an amazing job. A pretty big building, and every floor and every room is very well organized, the descriptions are interesting and make connections between the environment.
There are big spaces with huge sculptures, and cosy rooms with very fine and small pieces.
The cast room and it's collection could be even a separate museum. It was beautiful, must to see."
3,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Sandy Vitek,5,4 months ago,"The description of this museum (online) does not fully describe everything you will see here. It states textiles, fashion, etc. but it is so much more than that. The cast room alone is worth the visit, truly. We thought we would 'briefly' stop in to enjoy the museum, and ended up staying for many hours. Definitely worth seeing. This and the British Museum have been my favorites on this trip. Highly recommend."
4,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Raff Tatee,5,5 months ago,"Amazing place 🤩.  I love the atmosphere of this museum.  Beautiful interiors, stunning exhibitions and exhibits.  This is a very good place to de-stress, also spend a nice time with friends or family.  The museum is long, you can go back there many times and you will always find something new that will surprise or amaze you.  I highly recommend to everyone going to London!"
5,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Ava Shaffer,5,3 weeks ago,"This is my favorite museum in London. The exhibits are all so interesting. My favorites were the fashion, jewelry, and statue rooms. Also, Harry Styles' famous cardigan is here! Lastly, this gift shop was the best museum gift shop I have EVER been to! I highly, highly recommend it."
6,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Daisy Green,5,5 months ago,"My favourite art museum in London! There is a mixture of modern and traditional pieces: a little something for everyone. I would recommend getting a map on entry, then deciding which sections and floors you want to see, as it is a very big museum. It wasn't busy when we went, however it might be in public holidays, so be careful."
7,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Wayne Bock,5,2 months ago,"If you are in London and like beautiful things this is the place for you.  Everything from ancient mosaics to Victorian teacups is here in this huge and beautiful museum.  Paintings, sculpture, ceramics, clothing and other categories to numerous to mention, from around the world: it is all at the V&A.  All amenities including a nice cafe are on site.  Very close to two tube stations and in a lovely area, it is also next door to the Natural History Museum, and lots of places for upscale shopping and food."
8,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Richard Djan,5,3 months ago,"A great place to visit for all the family. There are various exhibitions to entertain and really wonderful to see a dance session which children could take part in, without a booking.

The museum has numerous galleries from famous gowns to modern creations (like Harry Styles cardigan) to paintings from different eras.
Their copies of originals such as that of Michelangelo's David are impressive to say the least.

Well worth the visit especially with the family as some of the objects can be interacted with-try tying a caveat or creating your own monogram."
9,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",A Otago,5,3 months ago,"Absolutely a must do in London. It is hard to explain the feeling one gets when entering each part of the Victoria and Albert Museum. There is a lovely cafe if you need to get something to drink or eat so don’t stress.

Easy place to spend hour after hour after hour in and when driving home wonder if we should go back again tomorrow or next week

The building from the outside is stunning as well. I recommend going on a Sunday as it wasn’t busy.

Below scores are out of 10
Customer Service   10
Atmosphere  10
Presentation   10
Location   10
Overall  10"
10,"https://www.google.com/maps/place/Victoria+and+Albert+Museum/@51.4966392,-0.17218,15z/data=!4m5!3m4!1s0x0:0x9eb7094dfdcd651f!8m2!3d51.4966392!4d-0.17218",Angelica Rae,5,a month ago,"I Attended a rather spectacular Faberge event here, which was truly remarkable. The food, the ambiance, the historical building including the Faberge event set up, made for an outstanding evening, that I will not forget.

Although this is renowned for being a museum. I have been here on several occasions for luxury brand events, each one better then the last.

Worth the visit if in London, the building is full of historical wonders. Should you attend an event, you are in for a treat. The V and A have a keen eye for detail alongside superior knowledgeable staff… what a remarkable museum!

Simply amazing."
