id,input_url,user_name,score,published_at,text
1,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",mimi Davis,5,7 months ago,"My first visit to La Tour d’Argent on New Year’s Eve. We made the choice to leave the year 2021 behind, to start 2022 for the better new year.  We arrived at 8 pm. On the ground floor, they were many staff welcoming us to the restaurant which I think La Tour d’Argent isn’t just a restaurant but they pack with all the legendary clients photos and clients signature cards collection on the wall heading to the elevator , I am feeling, I was walking into a place full with the legendary guests on the wall. I am feeling so special to be able to come so far from home to Paris.
We took the elevator up to the restaurant area with a live singer and band playing music all night, very festive! We have the set menu for new year and i am glad to have this: every dish is so so fresh and delicious. Let me tell you about the service, the staff are very friendly, they know not to interrupt you during all the night and also made everything so smooth, I am feeling comfortable and enjoy food although conversation like sitting at my own home."
2,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Luke Camery,5,3 months ago,"Once in a lifetime experience so it's difficult to rank appropriately. Obviously the aesthetics and service were unbelievable. Definitely feels like a three Michelin star white glove experience.

The duck courses were fantastic and highly unusual which was a rare plus. The wine list is larger than an encyclopedia and is thrilling. All wines are at least 100 euros but given that, honestly, the selection of 20+ year old wine under 200 euros is impressive.

The cheese cart and desserts are both can't miss items. Not for every visit to Paris but at least once in a lifetime!"
3,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Marija Brajković,5,5 months ago,A beautiful restaurant with an extremely long tradition.  extremely creative cuisine.  rich wine cellar.  Wonderful staff.  A divine view of Notre Dame. At the end of lunch they give you a gift souvenir  of a glass goose.
4,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Aaron,5,4 months ago,Best meal I had in Paris. Everything was perfection. The wait staff were exceptional. Got a small glimpse of the kitchen because the normal lift for the restaurant was broken. That was neat. It felt like we were being let in a secret VIP entrance. A night I will remember.
5,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",MB,4,10 months ago,"Overall, a great experience. The duck was exquisite. History of this place is mind-blowing & we had a beautiful view of the River Seine.
We had the tasting menu. They failed to ask about any food allergies however which is surprising considering the calibre of the restaurant. Even the most basic restaurants always ask this question.
I let the server know of my shell fish allergy & they did accommodate for us eventually, however, not without causing a minor raucous.
Also caused a minor raucous that we did not drink alcohol & declined the champagne.
The restaurant could improve with acknowledging & being prepared people's different food & lifestyle preferences, otherwise a great experience."
6,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",MichelinStarsChallenge R,5,10 months ago,"#40 follow my Michelin Stars Marathon reviews on Googlemaps list
On top of the world!

If you’re French, sitting in la Tour d Argent, you’re feeling like you’re on top of the world… and you are since you have a magnificent view over, what we French consider as the world: Paris and Notre Dame.
I know what you’re going to say: it’s expensive. You’re right. It is. Is it really though ? The lunch menu is less than a very average 3 stars hotel in the city center. Which memories will last a lifetime? A meal at La Tour or an hotel night in a very average place?
I had the good fortune of speaking with the manager of the group (they also have a bakery -aka “oh my god those croissants are so good”, and an epicerie ). Interestingly, the difference with the others famous star Michelin in Paris, is that the proportion of none Parisian French customers is uniquely higher, allowing them to reopen way before the other big names. It does make sense. I wouldn’t live in Paris, why wouldn’t I eat in a place where I enjoy Paris, a great cuisine and an impeccable service?
Still, for the French, we save this restaurant for the “grandes occasions”, exceptional events like engagement, diplomas, etc… well, I’m living 2 mn walk from the place, I feel like I need to more exceptional event in my life…
So when I went, the restaurant patrons were mainly French, which is really different from other place I went (see my review on Septime). To make it short, if you want to be amongst wealthy French, now you know the address.
Which brings me to another point: the dressing code/mood. You ll receive an email after you booked reminding you that you should dress properly. Well, I think it’s important because I think there are places, where it’s great when all the patrons are well dressed. Being well dressed, it’s not only important for your experience, but also for the others, as you’re participating in creating an unique memory. I would feel as I m not respecting the other patrons (especially the couples) moment by not dressing up. I saw some French guy in chic, yet slightly casual, I was about to call the fashion police on them!
One last thing, don’t worry about it being to « formal « , the waiters will know how to put you at ease. It’s the quality of all the good Michelin Stars waiters, nice enough to be at ease, distant enough to feel respected. Here you have la crème de la crème.
But what about the food, I hear you wondering. It’s true that the setting, the history and the service will first occupy your mind. But then, you wonder if the cuisine will be up to the same level. The task is incredibly difficult. You went to be classical, yet haute cuisine, with some innovations (but not too much). The chef, who is a “meilleur ouvrier de France “ (like “top chef”, but before, without cameras and really focus on the cuisine…) manages to avoid the traps, and delivers beautifully. He manages to get out alive of this culinary “mine field “. Look at my pictures. It’s as good as it looks. It’s perfectly executed, coherent, balanced and perfectly in line with the rest of the experience. Which is another fit in itself.

It’s a very well deserved star, a top tiers one star.
It’ll create memories, that’ll you speak about years later. And I need to find a good reason to go back!"
7,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Lyubov L,5,10 months ago,"La perfection 👌🏻
This is perfection ! The only possible comment on this experience !
It was my dream to enjoy a meal at this epic place, institution I would say.
And dreams come true.
Amazing experience. Over the top. The service, the view, the food ! 5*!"
8,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Guy Campo,5,9 months ago,"The La Tour d'Argent is the oldest restaurant in Paris (1582). Impecable and courteous service from the front door to the table. The chef offers a culinary experience. The Gran Livre de Vin is in the true sense of the word ""grand"". The restaurant over looks the Seine with Notre Dame in the distance. Our time there was very enjoyable and  memorable. If I were to something different, I would make a reservation just sunset."
9,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Ronaldo Baumgarten Neto,5,5 months ago,Had a wonderful experience! No doubt it’s become my favorite restaurant in Paris! Best duck ever 🦆
10,"https://www.google.com/maps/place/La+Tour+d'Argent/@48.8497901,2.3527581,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671e4b41c8a83:0x5bd4a63441a1398a!8m2!3d48.8498104!4d2.3548718?authuser=0&hl=en",Charles Dorin,5,3 months ago,"Great Côte de bœuf paired with Graves Wine. Staff was lovely, and we had a good time. Will be back without hesitation."
